target_index,transform,representation,metric,bp,msp,difference_bp_minus_msp,relative_improvement_percent,msp_win
14,horizontal_flip,concat,full_normalized_distance,0.8565198807132128,0.8189771773846166,0.037542703328596216,4.383167766904729,1.0
15,horizontal_flip,concat,full_normalized_distance,0.7136325267849851,0.6990283728204425,0.014604153964542621,2.0464529595246903,1.0
16,horizontal_flip,concat,full_normalized_distance,0.7983630255736922,0.6876708381975946,0.11069218737609765,13.864894018158868,1.0
17,horizontal_flip,concat,full_normalized_distance,0.8584608938433901,0.7844720772781809,0.07398881656520917,8.618775426550862,1.0
18,horizontal_flip,concat,full_normalized_distance,0.8836442523153554,0.7758080346284677,0.10783621768688767,12.203578239117093,1.0
19,horizontal_flip,concat,full_normalized_distance,0.8578276141282193,0.7410662966040028,0.11676131752421648,13.61127988899505,1.0
20,horizontal_flip,concat,full_normalized_distance,0.7533422940137642,0.6710311780542336,0.08231111595953056,10.926124367831845,1.0
21,horizontal_flip,concat,full_normalized_distance,0.8328128063208498,0.7673245853305999,0.06548822099024987,7.863498314763092,1.0
22,horizontal_flip,concat,full_normalized_distance,0.7327157206773499,0.6901848559920932,0.042530864685256686,5.804551954458069,1.0
23,horizontal_flip,concat,full_normalized_distance,0.8568737389508629,0.7858134693238986,0.07106026962696432,8.292968543286904,1.0
24,horizontal_flip,concat,full_normalized_distance,0.8258207039263528,0.7127795407218998,0.11304116320445301,13.688342114318948,1.0
25,horizontal_flip,concat,full_normalized_distance,0.7242050482349858,0.5669389784521036,0.15726606978288216,21.715682618610558,1.0
26,horizontal_flip,concat,full_normalized_distance,0.7959926432456498,0.6820195628559864,0.11397308038966336,14.318358512058154,1.0
27,horizontal_flip,concat,full_normalized_distance,0.8498049806819227,0.7403523695818616,0.1094526111000611,12.87973283142004,1.0
28,horizontal_flip,concat,full_normalized_distance,0.8407209915887297,0.7782048961878514,0.06251609540087832,7.436009808993334,1.0
29,horizontal_flip,concat,full_normalized_distance,0.8872744797559251,0.7722373281879772,0.11503715156794792,12.965227130105571,1.0
30,horizontal_flip,concat,full_normalized_distance,0.8306422212995499,0.7690720325609266,0.0615701887386233,7.41235963688697,1.0
31,horizontal_flip,concat,full_normalized_distance,0.8760450117400387,0.779905612076339,0.09613939966369967,10.974253420224796,1.0
32,horizontal_flip,concat,full_normalized_distance,0.7944053077468575,0.7265798094953817,0.06782549825147577,8.537895906531812,1.0
33,horizontal_flip,concat,full_normalized_distance,0.8105434923216313,0.7391812525503177,0.07136223977131351,8.804245601531308,1.0
2,horizontal_flip,concat,cp_eq1_optimized,0.20546282827854156,0.1466357409954071,0.05882708728313446,28.63149883398739,1.0
3,horizontal_flip,concat,cp_eq1_optimized,0.1985444277524948,0.18557603657245636,0.012968391180038452,6.531732633735514,1.0
4,horizontal_flip,concat,cp_eq1_optimized,0.2104191780090332,0.19557957351207733,0.014839604496955872,7.052401134391034,1.0
