method,transform,representation,metric,n,mean,std,median,min,max
BP,scale_0.90,layer3_flat,cp_eq1_optimized,32,0.197813852224499,0.027702825992110366,0.20129826664924622,0.14082929491996765,0.24657480418682098
BP,scale_0.90,layer3_flat,cp_delta_from_original,32,-0.005060879047960043,0.011665427970227862,-0.008157864212989807,-0.0262921005487442,0.016791105270385742
BP,scale_0.90,layer3_flat,cp_ratio_to_original,32,0.9788336274211467,0.058225372259144766,0.9559646589316767,0.8936168211551656,1.1243715513333916
BP,scale_0.90,layer3_flat,cp_coefficient_entropy,32,1.8635541386902332,0.29963341195571147,1.9274258613586426,1.0146340131759644,2.4124972820281982
BP,scale_0.90,layer4_pooled,bp_eq2_uniform,32,0.5508443592116237,0.08089955687547347,0.5386633276939392,0.43135520815849304,0.797431468963623
BP,scale_0.90,layer4_pooled,full_normalized_distance,32,1.0470397476205662,0.07463622108408213,1.0379350761882051,0.9288220584789026,1.2628788294714763
BP,scale_0.90,layer4_pooled,bp_delta_from_original,32,0.09024819266051054,0.05485216012343192,0.08748389780521393,0.008154362440109253,0.20032694935798645
BP,scale_0.90,layer4_pooled,bp_ratio_to_original,32,1.199298207828066,0.12844778967200177,1.1935985600111385,1.0192683037441665,1.480325836769338
BP,scale_0.90,layer4_pooled,cp_eq1_optimized,32,0.08387215109542012,0.04340310265518256,0.07592020556330681,0.017490431666374207,0.1950966715812683
BP,scale_0.90,layer4_pooled,cp_delta_from_original,32,-0.012203777499962598,0.034748912512640694,-0.014410901814699173,-0.09047766774892807,0.05867092311382294
BP,scale_0.90,layer4_pooled,cp_ratio_to_original,32,0.9667653568967323,0.4343326676133373,0.8589866950598164,0.4980347984226927,2.071829097022418
BP,scale_0.90,layer4_pooled,cp_coefficient_entropy,32,0.7551361052319407,0.43396237779269325,0.8052989542484283,-0.0,1.6443216800689697
BP,scale_1.10,concat,bp_eq2_uniform,32,0.3464207877404988,0.04623267042263235,0.3588225841522217,0.23924089968204498,0.4176856577396393
BP,scale_1.10,concat,full_normalized_distance,32,0.830466467611928,0.057176775372310945,0.8471384734811617,0.6917237883462517,0.9139864963331125
BP,scale_1.10,concat,bp_delta_from_original,32,0.006679844576865435,0.013379018735857546,0.005923911929130554,-0.01816883683204651,0.0349423885345459
BP,scale_1.10,concat,bp_ratio_to_original,32,1.0229984771593699,0.043519174558662596,1.0176609368652252,0.9476212065875352,1.1340279991339415
BP,scale_1.10,concat,cp_eq1_optimized,32,0.20602949289605021,0.020804848205399493,0.2047746255993843,0.1651684045791626,0.2434992641210556
BP,scale_1.10,concat,cp_delta_from_original,32,0.004058276303112507,0.008720686800506097,0.0034992843866348267,-0.016954466700553894,0.027033403515815735
BP,scale_1.10,concat,cp_ratio_to_original,32,1.0226426541416305,0.04840905026488768,1.0159667120255784,0.9211770838929665,1.157228713927189
BP,scale_1.10,concat,cp_coefficient_entropy,32,1.9065213315188885,0.2871968352946116,1.9218525886535645,1.3329706192016602,2.471792697906494
