target_index,transform,representation,cosine_drift
20,scale_0.90,layer3_flat,0.06712335348129272
20,scale_0.90,layer4_pooled,0.01738375425338745
20,scale_0.90,concat,0.09122270345687866
20,scale_1.10,layer2_flat,0.05203545093536377
20,scale_1.10,layer3_flat,0.03175634145736694
20,scale_1.10,layer4_pooled,0.00587773323059082
20,scale_1.10,concat,0.04250204563140869
20,horizontal_flip,layer2_flat,0.17028337717056274
20,horizontal_flip,layer3_flat,0.2092340588569641
20,horizontal_flip,layer4_pooled,0.0045455098152160645
20,horizontal_flip,concat,0.18826115131378174
21,original,layer2_flat,-1.1920928955078125e-07
21,original,layer3_flat,0.0
21,original,layer4_pooled,0.0
21,original,concat,0.0
21,rotate_-10,layer2_flat,0.1140030026435852
21,rotate_-10,layer3_flat,0.048035502433776855
21,rotate_-10,layer4_pooled,0.0023431777954101562
21,rotate_-10,concat,0.07860589027404785
21,rotate_+10,layer2_flat,0.1171799898147583
21,rotate_+10,layer3_flat,0.0674176812171936
21,rotate_+10,layer4_pooled,0.002945423126220703
21,rotate_+10,concat,0.09136658906936646
21,scale_0.90,layer2_flat,0.1441185474395752
21,scale_0.90,layer3_flat,0.08218240737915039
21,scale_0.90,layer4_pooled,0.004538059234619141
21,scale_0.90,concat,0.11219608783721924
21,scale_1.10,layer2_flat,0.04721122980117798
21,scale_1.10,layer3_flat,0.018430590629577637
21,scale_1.10,layer4_pooled,0.0018275976181030273
21,scale_1.10,concat,0.0317913293838501
21,horizontal_flip,layer2_flat,0.2270183563232422
21,horizontal_flip,layer3_flat,0.2260575294494629
21,horizontal_flip,layer4_pooled,0.001677870750427246
21,horizontal_flip,concat,0.2264605164527893
22,original,layer2_flat,-1.1920928955078125e-07
22,original,layer3_flat,1.1920928955078125e-07
22,original,layer4_pooled,5.960464477539063e-08
22,original,concat,0.0
22,rotate_-10,layer2_flat,0.11975109577178955
22,rotate_-10,layer3_flat,0.07492715120315552
22,rotate_-10,layer4_pooled,0.013895094394683838
22,rotate_-10,concat,0.10214972496032715
22,rotate_+10,layer2_flat,0.1166846752166748
22,rotate_+10,layer3_flat,0.06608462333679199
22,rotate_+10,layer4_pooled,0.022372782230377197
22,rotate_+10,concat,0.09634029865264893
22,scale_0.90,layer2_flat,0.14386910200119019
22,scale_0.90,layer3_flat,0.09245932102203369
22,scale_0.90,layer4_pooled,0.02920210361480713
22,scale_0.90,concat,0.12376093864440918
22,scale_1.10,layer2_flat,0.06825417280197144
22,scale_1.10,layer3_flat,0.03795623779296875
22,scale_1.10,layer4_pooled,0.002990126609802246
22,scale_1.10,concat,0.05617642402648926
22,horizontal_flip,layer2_flat,0.20396053791046143
22,horizontal_flip,layer3_flat,0.21761012077331543
22,horizontal_flip,layer4_pooled,0.021773934364318848
22,horizontal_flip,concat,0.20959389209747314
23,original,layer2_flat,5.960464477539063e-08
23,original,layer3_flat,0.0
23,original,layer4_pooled,0.0
23,original,concat,1.1920928955078125e-07
23,rotate_-10,layer2_flat,0.16517800092697144
23,rotate_-10,layer3_flat,0.06420361995697021
23,rotate_-10,layer4_pooled,0.0032057762145996094
23,rotate_-10,concat,0.1154944896697998
23,rotate_+10,layer2_flat,0.1478203535079956
23,rotate_+10,layer3_flat,0.05570495128631592
23,rotate_+10,layer4_pooled,0.006823599338531494
23,rotate_+10,concat,0.1016530990600586
23,scale_0.90,layer2_flat,0.180636465549469
23,scale_0.90,layer3_flat,0.07364523410797119
