target_index,bp_poison_count,msp_poison_count,method,transform,representation,bp_eq2_uniform,full_normalized_distance,bp_delta_from_original,bp_ratio_to_original,cp_eq1_optimized,cp_delta_from_original,cp_ratio_to_original,cp_coefficient_entropy,cp_coefficients
2,10,10,MSP,rotate_-10,layer2_flat,0.2836308479309082,0.7531677740462721,0.009284228086471558,1.0338412337345442,0.17472726106643677,0.037549227476119995,1.2737262409518664,1.9029037952423096,0.17445156 0.18431066 0.00000000 0.03804918 0.00000000 0.05814425 0.52614039 0.00000000 0.01890398 0.00000000
2,10,10,MSP,rotate_-10,layer3_flat,0.28814375400543213,0.7591360273434954,0.01520681381225586,1.0557154843218994,0.10839050263166428,0.007825799286365509,1.0778185489138972,0.9551953077316284,0.04662968 0.16030532 0.00000000 0.00000000 0.00736819 0.00000000 0.78569674 0.00000000 0.00000000 0.00000000
2,10,10,MSP,rotate_-10,layer4_pooled,0.39721348881721497,0.8913063320960027,0.01641884446144104,1.0431173198067825,0.015200925059616566,-0.002387731336057186,0.8642459502188731,0.25673750042915344,0.00000000 0.04319131 0.00000000 0.00000000 0.00000000 0.00000000 0.95680875 0.00000000 0.00000000 0.00000000
2,10,10,MSP,rotate_-10,concat,0.28613555431365967,0.7564860267231109,0.012531459331512451,1.045801431927707,0.1432695984840393,0.023808151483535767,1.1992956897904987,1.3844258785247803,0.11948353 0.16145538 0.00000000 0.00285265 0.00000000 0.02734469 0.68178290 0.00000000 0.00708087 0.00000000
2,10,10,MSP,rotate_+10,layer2_flat,0.3050905168056488,0.7811408538869912,0.030743896961212158,1.1120622407468803,0.17408788204193115,0.03690984845161438,1.2690652977398469,1.6606411933898926,0.17929041 0.23103288 0.00000000 0.01932127 0.00000000 0.00610620 0.54786688 0.00000000 0.01638234 0.00000000
2,10,10,MSP,rotate_+10,layer3_flat,0.2871645390987396,0.7578450225458232,0.014227598905563354,1.0521277878159012,0.10695410519838333,0.006389401853084564,1.0635352329443304,0.8890260457992554,0.02989804 0.16259076 0.00000000 0.00000000 0.00765736 0.00000000 0.79985386 0.00000000 0.00000000 0.00000000
2,10,10,MSP,rotate_+10,layer4_pooled,0.390190064907074,0.8833912665484915,0.009395420551300049,1.0246731950948798,0.020721834152936935,0.0031331777572631836,1.1781362763932162,-0.0,0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000
2,10,10,MSP,rotate_+10,concat,0.2949388325214386,0.7680349373842815,0.021334737539291382,1.0779766748030781,0.1396988481283188,0.020237401127815247,1.1694052904579377,1.2242355346679688,0.11141734 0.18439873 0.00000000 0.00000000 0.00835440 0.00000000 0.69582951 0.00000000 0.00000000 0.00000000
2,10,10,MSP,scale_0.90,layer2_flat,0.24756911396980286,0.7036605914356763,-0.02677750587463379,0.9023953497596585,0.17067936062812805,0.03350132703781128,1.2442178690038599,2.254206418991089,0.16297390 0.19981943 0.04420710 0.07299865 0.01828980 0.06683148 0.43487963 0.00000000 0.00000000 0.00000000
2,10,10,MSP,scale_0.90,layer3_flat,0.24265779554843903,0.6966459582147003,-0.030279144644737244,0.8890617568175431,0.13551202416419983,0.03494732081890106,1.347510803055407,1.627101182937622,0.06033951 0.29259524 0.00000000 0.01519891 0.08264906 0.00000000 0.54921740 0.00000000 0.00000000 0.00000000
2,10,10,MSP,scale_0.90,layer4_pooled,0.39164602756500244,0.8850378834434178,0.010851383209228516,1.0284966802186999,0.041068896651268005,0.023480240255594254,2.3349649754960633,1.8600223064422607,0.25080490 0.22862482 0.00000000 0.10753429 0.00000000 0.00000000 0.41303602 0.00000000 0.00000000 0.00000000
2,10,10,MSP,scale_0.90,concat,0.2450166940689087,0.700023848263627,-0.028587400913238525,0.8955154493758606,0.154273122549057,0.03481167554855347,1.2914051053484672,1.992317795753479,0.12299363 0.24387112 0.00418309 0.05112166 0.04783012 0.03252358 0.49747679 0.00000000 0.00000000 0.00000000
2,10,10,MSP,scale_1.10,layer2_flat,0.2674596905708313,0.7313818299231002,-0.006886929273605347,0.9748969778542,0.15290798246860504,0.01572994887828827,1.1146681321089003,1.8752866983413696,0.17761897 0.21258451 0.02411858 0.00227746 0.00000000 0.06033890 0.51250547 0.00000000 0.01055609 0.00000000
2,10,10,MSP,scale_1.10,layer3_flat,0.2675156593322754,0.7314583506014206,-0.005421280860900879,0.9801372402832537,0.11230407655239105,0.011739373207092285,1.1167345282834202,1.330008625984192,0.05415412 0.18345813 0.00000000 0.00000000 0.05907649 0.00678086 0.69653034 0.00000000 0.00000000 0.00000000
2,10,10,MSP,scale_1.10,layer4_pooled,0.3796355724334717,0.8713616613478834,-0.001159071922302246,0.9969561758825151,0.010255091823637486,-0.007333564572036266,0.5830514618829475,0.6286675333976746,0.00000000 0.15765405 0.00000000 0.00000000 0.00000000 0.00000000 0.84234601 0.00000000 0.00000000 0.00000000
2,10,10,MSP,scale_1.10,concat,0.26753273606300354,0.7314816963711444,-0.006071358919143677,0.9778096927989414,0.13408564031124115,0.01462419331073761,1.1224176809992394,1.5572748184204102,0.12651655 0.18729667 0.00000000 0.00000000 0.01872605 0.04225345 0.62494463 0.00000000 0.00026264 0.00000000
2,10,10,MSP,horizontal_flip,layer2_flat,0.3069504499435425,0.7835182830585927,0.032603830099105835,1.1188417415803207,0.17990343272686005,0.042725399136543274,1.3114594809241218,1.6989433765411377,0.14308776 0.22842631 0.00000000 0.00750824 0.00000000 0.03879274 0.56298065 0.00000000 0.01920431 0.00000000
2,10,10,MSP,horizontal_flip,layer3_flat,0.2939590513706207,0.766758177485732,0.021022111177444458,1.0770218613958544,0.1146617904305458,0.01409708708524704,1.1401792738024905,1.0267665386199951,0.08599855 0.13458520 0.00000000 0.00000000 0.00000000 0.00628438 0.77313197 0.00000000 0.00000000 0.00000000
2,10,10,MSP,horizontal_flip,layer4_pooled,0.38983577489852905,0.8829901187425928,0.009041130542755127,1.0237427985838066,0.021752042695879936,0.004163386300206184,1.2367086039041355,0.09585609287023544,0.00000000 0.01232760 0.00000000 0.00000000 0.00000000 0.00000000 0.98767239 0.00000000 0.00000000 0.00000000
2,10,10,MSP,horizontal_flip,concat,0.2998010814189911,0.7743398238744938,0.026196986436843872,1.0957477863716092,0.1466357409954071,0.027174293994903564,1.2274733370219562,1.3334097862243652,0.11436606 0.17266074 0.00000000 0.00000000 0.00000000 0.01893285 0.68587053 0.00000000 0.00816985 0.00000000
3,10,10,BP,original,layer2_flat,0.39327624440193176,0.8868779447048301,0.0,1.0,0.20306895673274994,0.0,1.0,1.842410922050476,0.23703294 0.22028203 0.02179760 0.05172802 0.00000000 0.00000000 0.46751845 0.00000000 0.00164092 0.00000000
3,10,10,BP,original,layer3_flat,0.3498307168483734,0.8364576699969621,0.0,1.0,0.19826261699199677,0.0,1.0,1.7205173969268799,0.17198224 0.14902456 0.00000000 0.13833931 0.00000000 0.00000000 0.54065382 0.00000000 0.00000000 0.00000000
3,10,10,BP,original,layer4_pooled,0.44627103209495544,0.9447444438523631,0.0,1.0,0.09371275454759598,0.0,1.0,-0.0,0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000
3,10,10,BP,original,concat,0.3697669804096222,0.859961604270356,0.0,1.0,0.20200616121292114,0.0,1.0,1.7274658679962158,0.20991232 0.17920087 0.00000000 0.09297217 0.00000000 0.00000000 0.51791465 0.00000000 0.00000000 0.00000000
3,10,10,BP,rotate_-10,layer2_flat,0.38332992792129517,0.8755911465076553,-0.009946316480636597,0.9747090839525866,0.20926350355148315,0.006194546818733215,1.0305046468863042,1.9361536502838135,0.23673324 0.20685332 0.00000000 0.08374652 0.00000000 0.03051077 0.44215614 0.00000000 0.00000000 0.00000000
3,10,10,BP,rotate_-10,layer3_flat,0.3515547811985016,0.838516286303971,0.0017240643501281738,1.0049282817862746,0.19178526103496552,-0.00647735595703125,0.967329413606701,1.6389269828796387,0.17128333 0.16548374 0.00000000 0.09022439 0.00000000 0.00000000 0.57300842 0.00000000 0.00000000 0.00000000
3,10,10,BP,rotate_-10,layer4_pooled,0.46046409010887146,0.9596500300722878,0.014193058013916016,1.0318036730891023,0.10481743514537811,0.011104680597782135,1.1184970034364283,-0.0,0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 0.00000000
3,10,10,BP,rotate_-10,concat,0.36638063192367554,0.8560147567929838,-0.0033863484859466553,0.9908419392067238,0.2015104442834854,-0.00049571692943573,0.9975460306435368,1.7317136526107788,0.20796780 0.18392816 0.00000000 0.09283312 0.00000000 0.00000000 0.51527089 0.00000000 0.00000000 0.00000000
3,10,10,BP,rotate_+10,layer2_flat,0.3759642243385315,0.8671380793605267,-0.01731202006340027,0.9559800005472407,0.20319034159183502,0.00012138485908508301,1.0005977519215024,1.8898464441299438,0.26656899 0.20032367 0.01515129 0.08498279 0.00000000 0.00000000 0.43297324 0.00000000 0.00000000 0.00000000
3,10,10,BP,rotate_+10,layer3_flat,0.34442779421806335,0.8299732456146564,-0.005402922630310059,0.9845556082697096,0.1875467449426651,-0.010715872049331665,0.9459511217401605,1.7230221033096313,0.19491990 0.14272700 0.00000000 0.12779467 0.00000000 0.00000000 0.53455848 0.00000000 0.00000000 0.00000000
