method,transform,representation,bp_eq2_uniform,bp_delta_from_original,bp_ratio_to_original,cp_eq1_optimized,cp_delta_from_original,cp_ratio_to_original,cp_coefficient_entropy,cp_coefficients
MSP,rotate_+10,concat,0.20991607010364532,0.05415527522563934,1.347682324475211,0.13867151737213135,0.03008393943309784,1.2770477065959738,1.947586178779602,0.13892621 0.33935851 0.00000000 0.09039837 0.00935734 0.00000000 0.40080541 0.00000000 0.02115408 0.00000000
MSP,scale_0.90,layer2_flat,0.19767998158931732,0.07764475047588348,1.646849677007428,0.15098236501216888,0.06841075420379639,1.8285021151123195,2.346950054168701,0.12417812 0.36831319 0.07446618 0.07862215 0.00000000 0.05714135 0.27372122 0.00000000 0.02355784 0.00000000
MSP,scale_0.90,layer3_flat,0.25092747807502747,0.051388904452323914,1.2575386980024965,0.15431629121303558,0.017357513308525085,1.1267353109743738,1.6496458053588867,0.02696539 0.51807886 0.00000000 0.10251456 0.00000000 0.00000000 0.32173684 0.00000000 0.03070434 0.00000000
MSP,scale_0.90,layer4_pooled,0.3071725070476532,0.04765847325325012,1.1836450713521849,0.07324796169996262,-0.03789503872394562,0.6590425075886923,0.9984836578369141,0.00000000 0.52292061 0.00000000 0.00000000 0.00000000 0.00000000 0.47707939 0.00000000 0.00000000 0.00000000
MSP,scale_0.90,concat,0.22184646129608154,0.06608566641807556,1.4242766382221566,0.15441536903381348,0.04582779109477997,1.4220353005763509,1.8868117332458496,0.09493253 0.45908520 0.00000000 0.10925087 0.00000000 0.00000000 0.29882148 0.00000000 0.03790994 0.00000000
MSP,scale_1.10,layer2_flat,0.1349869817495346,0.014951750636100769,1.1245613516738826,0.08954738825559616,0.006975777447223663,1.084481547336265,2.4267187118530273,0.15227778 0.17394143 0.05998463 0.01554154 0.00703036 0.05338254 0.41708809 0.10515133 0.01560243 0.00000000
MSP,scale_1.10,layer3_flat,0.21209725737571716,0.01255868375301361,1.0629386264767893,0.13833849132061005,0.0013797134160995483,1.0100739320049381,2.0739850997924805,0.14975017 0.27547607 0.00000000 0.08994559 0.00000000 0.00000000 0.41404250 0.01003483 0.06075089 0.00000000
MSP,scale_1.10,layer4_pooled,0.27276378870010376,0.013249754905700684,1.0510560246470007,0.09888985008001328,-0.012253150343894958,0.8897532881328539,1.3549950122833252,0.27395272 0.13728777 0.00000000 0.00000000 0.00000000 0.00000000 0.58875948 0.00000000 0.00000000 0.00000000
MSP,scale_1.10,concat,0.17024600505828857,0.014485210180282593,1.092996509112159,0.11336949467658997,0.0047819167375564575,1.044037419641105,2.2155492305755615,0.15372902 0.23214814 0.00000000 0.06652714 0.00447930 0.00240788 0.42211136 0.08253411 0.03606305 0.00000000
MSP,horizontal_flip,layer2_flat,0.13167093694210052,0.011635705828666687,1.0969357556163986,0.10334113240242004,0.020769521594047546,1.2515334434009862,2.6105360984802246,0.21313772 0.21702720 0.12286048 0.03485960 0.09945088 0.05718950 0.24848785 0.00000000 0.00698680 0.00000000
MSP,horizontal_flip,layer3_flat,0.1985042244195938,-0.0010343492031097412,0.9948162944922101,0.14351090788841248,0.0065521299839019775,1.0478401609893333,2.3314499855041504,0.11415714 0.32775053 0.00000000 0.13037731 0.12357403 0.00000000 0.26504174 0.00000000 0.03909926 0.00000000
MSP,horizontal_flip,layer4_pooled,0.25888678431510925,-0.0006272494792938232,0.9975829843568755,0.09203033149242401,-0.019112668931484222,0.8280353341333686,0.9341882467269897,0.35013464 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.64986533 0.00000000 0.00000000 0.00000000
MSP,horizontal_flip,concat,0.16071084141731262,0.004950046539306641,1.0317797976259162,0.12323307991027832,0.014645501971244812,1.1348727197813793,2.4353044033050537,0.17663853 0.28237310 0.02585319 0.09989230 0.12519772 0.00000000 0.26679492 0.00000000 0.02325014 0.00000000
